00047222	00439	tx	[0x3F]
00047227	00440	rx	ok\r
00047228	00441	rx	ok\r
00047228	00442	rx	ok\r
00047229	00443	rx	ok\r
00047230	00444	rx	ok\r
00047235	00447	tx	X39.938S42\n
00047236	00448	tx	X40.05S44\n
00047237	00449	tx	X40.387S45\n
00047238	00450	rx	ok\r
00047239	00451	rx	ok\r
00047239	00452	tx	X40.5S42\n
00047240	00453	tx	X40.612S34\n
00047241	00454	rx	ok\r
00047242	00456	rx	ok\r
00047243	00458	rx	ok\r
00047245	00460	tx	X41.062S44\n
00047286	00461	rx	ok\r
00047287	00462	rx	<Run|MPos:390.213,12.650,0.000|FS:6949,0|Ov:100,100,100>\r
00047353	00464	rx	ok\r
00047354	00465	rx	ok\r
00047355	00467	rx	ok\r
00047356	00468	rx	ok\r
00047356	00469	rx	ok\r
00047357	00470	rx	ok\r
00047358	00472	tx	G1X42.975S45\n
00047359	00473	tx	X42.862S44\n
00047360	00474	tx	X42.637S40\n
00047423	00475	tx	[0x3F]
00047585	00476	rx	<Run|MPos:414.050,18.913,0.000|FS:6949,0>\r
00047622	00477	tx	[0x3F]
00047796	00478	rx	<Run|MPos:421.700,20.913,0.000|FS:3442,0>\r
00047797	00479	rx	ok\r
00047798	00480	rx	ok\r
00047798	00481	tx	X42.525S48\n
00047799	00482	rx	ok\r
00047800	00483	rx	ok\r
00047801	00484	rx	ok\r
00047802	00487	tx	X42.3S63\n
00047803	00489	tx	X42.188S79\n
00047804	00490	tx	X42.075S94\n
00047805	00491	tx	X41.962S102\n
00047805	00492	rx	ok\r
00047806	00493	rx	ok\r
00047807	00495	tx	X41.738S94\n
00047807	00496	tx	X41.625S92\n
00047808	00497	rx	ok\r
00047809	00498	tx	X41.512S96\n
00047810	00499	tx	X41.4S100\n
00047823	00500	tx	[0x3F]
00047920	00501	rx	ok\r
